NID,LID,px,py,pz,eta,phi
1.0000000000,2.0000000000,0.0563279000,1.9014700000,-2.6734400000,-1.1410989857,1.5411816434
1.0000000000,2.0000000000,-0.2258590000,1.7313400000,-2.3624400000,-1.1103870183,1.7005170622
1.0000000000,2.0000000000,0.8343670000,-1.4401200000,0.3046940000,0.1820616665,-1.0456816471
1.0000000000,2.0000000000,0.5394450000,1.0047100000,2.3142100000,1.4566849474,1.0780537805
1.0000000000,2.0000000000,-0.6105270000,1.0394300000,-1.4303900000,-1.0073552428,2.1018751523
1.0000000000,2.0000000000,1.4974500000,0.6490500000,3.0616700000,1.3867429375,0.4089949710
1.0000000000,2.0000000000,-0.3532160000,0.9544410000,0.3442470000,0.3321194340,1.9252433622
1.0000000000,3.0000000000,1.1698300000,0.5419590000,3.8295200000,1.8090114170,0.4338426421
1.0000000000,3.0000000000,-0.2220770000,1.3902900000,8.0076800000,2.4390785569,1.7291925104
1.0000000000,3.0000000000,-1.0712100000,-1.1725400000,-8.6958900000,-2.4016405942,-2.3110641521
1.0000000000,3.0000000000,1.0330600000,-0.4449780000,3.7708300000,1.9243573247,-0.4067205669
1.0000000000,3.0000000000,0.6689640000,-0.9160650000,1.0258400000,0.8121067706,-0.9400501357
1.0000000000,3.0000000000,-4.0593500000,-1.6754500000,-18.1440000000,-2.1261453490,-2.7501532790
1.0000000000,3.0000000000,0.2499270000,1.5555100000,7.8523700000,2.3093301490,1.4114858462
1.0000000000,3.0000000000,-1.3988300000,-0.8938350000,-6.5437000000,-2.0805340033,-2.5729980230
1.0000000000,3.0000000000,-0.4938840000,0.9022290000,-5.3592900000,-2.3529013337,2.0716444646
1.0000000000,3.0000000000,0.9974380000,-0.5326170000,6.7793300000,2.4910403045,-0.4904645962
1.0000000000,3.0000000000,-0.4987570000,1.9388800000,-0.7461720000,-0.3645822397,1.8225771767
1.0000000000,3.0000000000,1.7306100000,2.4392800000,-2.0008900000,-0.6270913443,0.9537390706
1.0000000000,3.0000000000,0.6385090000,1.0486200000,-0.2777170000,-0.2243193923,1.0238554170
1.0000000000,3.0000000000,-0.2709950000,1.7659100000,-1.1509800000,-0.6063848551,1.7230675511
2.0000000000,0.0000000000,1.7014800000,0.3308740000,-0.5858210000,-0.3318456821,0.1920653841
2.0000000000,0.0000000000,1.2003100000,0.0171012000,0.1989310000,0.1649669444,0.0142463556
2.0000000000,0.0000000000,0.7157740000,-0.9978330000,0.6241260000,0.4885721462,-0.9485349539
2.0000000000,0.0000000000,1.0579300000,-1.5568700000,0.7803500000,0.4035310361,-0.9739454659
2.0000000000,0.0000000000,1.4074300000,-0.8702640000,-0.6689680000,-0.3939967907,-0.5537925396
2.0000000000,0.0000000000,1.6295200000,-1.6414800000,-0.8681430000,-0.3670412948,-0.7890545213
2.0000000000,0.0000000000,1.7031600000,-1.8816700000,-1.2408200000,-0.4712590801,-0.8351530116
2.0000000000,0.0000000000,11.7132000000,-11.5052000000,-7.6998000000,-0.4532866730,-0.7764399907
2.0000000000,0.0000000000,4.7343800000,-4.5543500000,-2.8177000000,-0.4167471110,-0.7660190381
2.0000000000,0.0000000000,18.6528000000,-20.5861000000,-12.0450000000,-0.4210386629,-0.8346283379
2.0000000000,0.0000000000,2.6727900000,-2.9417400000,-1.6842700000,-0.4120006114,-0.8332640698
2.0000000000,0.0000000000,7.4569000000,-8.0152900000,-4.8386200000,-0.4287246135,-0.8214724204
2.0000000000,0.0000000000,2.7914300000,-3.0216300000,-1.8247600000,-0.4301915944,-0.8249779682
2.0000000000,0.0000000000,8.7108600000,-9.0501900000,-5.7105200000,-0.4402536028,-0.8045011287
2.0000000000,0.0000000000,2.7145800000,-2.7832600000,-1.5769200000,-0.3952303889,-0.7978896924
2.0000000000,0.0000000000,1.2909300000,-1.2995400000,-0.7611930000,-0.4044390218,-0.7887218723
2.0000000000,0.0000000000,17.7754000000,-17.9569000000,-10.9156000000,-0.4195913929,-0.7904775576
2.0000000000,0.0000000000,20.6669000000,-21.3772000000,-12.5134000000,-0.4093201702,-0.8022907223
2.0000000000,0.0000000000,1.7988700000,-1.8778400000,-1.1151600000,-0.4166752280,-0.8068733028
2.0000000000,0.0000000000,18.3857000000,-19.0091000000,-11.4617000000,-0.4208683167,-0.8020673864
2.0000000000,0.0000000000,1.4374200000,-1.1764800000,0.8590280000,0.4473912877,-0.6858999658
2.0000000000,0.0000000000,2.2746000000,-1.5728500000,0.1701430000,0.0614859838,-0.6049877797
2.0000000000,0.0000000000,1.0958900000,-0.6534100000,0.1312960000,0.1027239012,-0.5376478828
2.0000000000,0.0000000000,6.5869100000,-3.9087500000,1.3556900000,0.1760865638,-0.5355611392
2.0000000000,0.0000000000,4.3139800000,-2.6691900000,1.0116900000,0.1981288488,-0.5540780342
2.0000000000,0.0000000000,0.8921000000,-0.4637910000,0.2890480000,0.2836597764,-0.4794301695
2.0000000000,0.0000000000,6.1717400000,-3.8293500000,2.0635200000,0.2804161037,-0.5553316998
2.0000000000,0.0000000000,2.5488000000,-1.5279600000,0.6861900000,0.2289034695,-0.5400386112
2.0000000000,0.0000000000,11.1975000000,-6.8186600000,3.3035200000,0.2493872094,-0.5469706520
2.0000000000,0.0000000000,3.7281100000,-2.1666900000,1.1740400000,0.2690161546,-0.5264637100
2.0000000000,0.0000000000,20.0896000000,-11.3040000000,5.9478800000,0.2552449562,-0.5125255759
2.0000000000,0.0000000000,4.9215800000,-2.8315700000,1.4145500000,0.2466204146,-0.5220879543
2.0000000000,1.0000000000,2.8450600000,-0.1827850000,-7.0357800000,-1.6352405347,-0.0641582718
2.0000000000,1.0000000000,1.2839500000,-0.1525480000,-2.8191700000,-1.5215054973,-0.1182571137
2.0000000000,1.0000000000,1.2074000000,1.2876400000,-1.0302700000,-0.5547678644,0.8175468882
2.0000000000,1.0000000000,-0.9783280000,0.9373490000,-0.3978850000,-0.2895991445,2.3775826215
2.0000000000,1.0000000000,-1.0327100000,0.0282479000,2.9742600000,1.7794644857,3.1142462948
2.0000000000,1.0000000000,0.3986090000,0.9246310000,0.2123360000,0.2093500177,1.1637697656
2.0000000000,1.0000000000,0.1734540000,1.5585400000,-6.4247500000,-2.1179722266,1.4599598138
2.0000000000,1.0000000000,-0.9641440000,0.9968920000,-0.0520989000,-0.0375573848,2.3394967058
2.0000000000,1.0000000000,-1.3803500000,-0.1173590000,0.9045690000,0.6137067925,-3.0567754408
2.0000000000,1.0000000000,-1.3451300000,-0.4746660000,8.0173300000,2.4274040639,-2.8023567371
2.0000000000,1.0000000000,-2.6219400000,-0.0259570000,10.7343000000,2.1172217435,-3.1316930556
2.0000000000,1.0000000000,-2.2882900000,-0.0445657000,7.3767800000,1.8867303848,-3.1221195681
2.0000000000,1.0000000000,-0.6118460000,0.8821820000,3.8192100000,1.9813742029,2.1771869411
2.0000000000,1.0000000000,0.4094180000,-2.9660200000,-2.5712400000,-0.7778948156,-1.4336269948
2.0000000000,1.0000000000,-0.0903730000,-2.2377600000,-1.6109500000,-0.6684122684,-1.6111598670
2.0000000000,1.0000000000,0.0927425000,-1.2896900000,-0.3402460000,-0.2601946250,-1.4990092055
2.0000000000,1.0000000000,1.2084200000,0.2254550000,4.1868300000,1.9395550142,0.1844494482
2.0000000000,2.0000000000,-0.8628570000,0.8216770000,-5.4286100000,-2.2214477567,2.3806355521
2.0000000000,2.0000000000,1.0487500000,1.0529800000,-0.7391550000,-0.4788511981,0.7874107884
2.0000000000,2.0000000000,0.3483120000,1.6507100000,-1.7652200000,-0.9137576159,1.3628394929
2.0000000000,2.0000000000,-0.0424375000,1.2016900000,-0.3080840000,-0.2534923167,1.6060965052
2.0000000000,2.0000000000,0.1234710000,-1.5377400000,0.5822650000,0.3690037561,-1.4906744085
2.0000000000,2.0000000000,-0.1416080000,-1.0962100000,-2.6294800000,-1.6013051746,-1.6992645083
2.0000000000,3.0000000000,-0.8251880000,-1.2099700000,1.3569000000,0.8284232488,-2.1693328186
2.0000000000,3.0000000000,0.7290710000,1.3693300000,-0.8105210000,-0.5012188994,1.0815433321
2.0000000000,3.0000000000,0.6213560000,0.9906930000,-0.3607390000,-0.3037814853,1.0106213701
