event_id, px, py, pz, eta, phi, mass, p_T
128, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
129, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
130, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
131, 157.9531770000,  2.1033147450,  -21.4218862000,  -0.1050892242,  0.0133152779,  128.2436036483,  157.9671803170
132, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
133, 386.0916080000,  -58.7173427000,  104.0315836000,  0.2249975895,  -0.1509248982,  240.2040864491,  390.5309924984
134, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
135, 372.3899280000,  11.6340457700,  104.2722020850,  0.2431880325,  0.0312314110,  203.6025454476,  372.5716166012
136, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
137, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
138, 218.8380220000,  63.5937473900,  44.5324655000,  0.1494024925,  0.2828083360,  190.4038647743,  227.8908611155
139, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
140, 151.5997610000,  9.1415501600,  -7.0073897700,  -0.0363125764,  0.0602276295,  118.9815796091,  151.8751311920
141, 366.3470840000,  -142.4321009000,  14.8042036000,  0.0323606077,  -0.3708054308,  233.9107203341,  393.0611775819
142, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
143, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
144, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
145, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
146, 351.2289670000,  96.7990553900,  89.9648385000,  0.2080073820,  0.2689248722,  227.2807638848,  364.3238180304
147, 225.1232510000,  -72.0537852550,  -5.8307886000,  -0.0202258093,  -0.3097607450,  164.9982771042,  236.3730655349
148, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
149, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
150, 186.4901360000,  -16.6218223300,  19.8970643000,  0.0838752602,  -0.0888948664,  145.2159909462,  187.2294202386
151, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
152, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
153, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
154, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
155, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
156, 374.6887810000,  -155.5587728400,  -55.1627346700,  -0.1140936070,  -0.3935134269,  261.0698039690,  405.6971954731
157, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
158, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
159, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
160, 288.3693500000,  27.9258564400,  89.8121327000,  0.2506669801,  0.0965395498,  204.4054587130,  289.7183726955
161, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
162, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
163, 401.2144110000,  67.0666867450,  126.0931138000,  0.2668829723,  0.1656278772,  229.1897606543,  406.7811992522
164, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
165, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
166, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
167, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
168, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
169, 130.0137490000,  5.0250358700,  -12.1091547000,  -0.0724848473,  0.0386308062,  104.5496836309,  130.1108216657
170, 534.6166420000,  62.0633666900,  322.5428405000,  0.4865954510,  0.1155721507,  341.4909749224,  538.2070376614
171, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
172, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
173, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
174, 623.4890410000,  -125.6163614300,  -207.0818851000,  -0.2860178816,  -0.1988117411,  324.9915642390,  636.0173382118
175, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
176, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
177, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
178, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
179, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
180, 180.1841400000,  -16.7290928400,  20.0795352300,  0.0840603135,  -0.0925790205,  155.4952010078,  180.9590750827
181, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
182, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
183, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
184, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
185, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
186, 268.3653020000,  -82.4639256100,  79.5669705000,  0.2124076192,  -0.2981244034,  243.7422273244,  280.7494155730
187, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
188, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
189, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
190, 577.5788860000,  -132.2999675600,  91.3932495000,  0.1351659071,  -0.2251750179,  321.4222944185,  592.5374679878
191, 262.2280610000,  -41.4391301300,  -97.8862268150,  -0.2961328293,  -0.1567309811,  188.7930522061,  265.4821227159
192, 467.8790500000,  33.6451466400,  110.8320954000,  0.2091896609,  0.0717863569,  237.9149663289,  469.0872001252
193, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
194, 377.9423340000,  101.7255186900,  197.9416275000,  0.3976639012,  0.2629251918,  286.2171606377,  391.3930109010
195, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
196, 242.7641300000,  -2.4934538400,  80.7717852300,  0.2585717756,  -0.0102707355,  191.0303955178,  242.7769349150
197, 330.4387080000,  -55.4067553000,  167.0367526000,  0.3961188371,  -0.1661309075,  237.7847774621,  335.0517098562
198, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
199, 124.8324910000,  4.0536674700,  10.3502781850,  0.0641343543,  0.0324614489,  102.0275981694,  124.8982907378
